,index,name,full_name,score
150,639,2884.pdf,train/2884.pdf,0.2496396950260363
151,379,953.pdf,train/953.pdf,0.2494649306794335
152,746,665.pdf,train/665.pdf,0.24917038507397452
153,552,1591.pdf,train/1591.pdf,0.24897150075845137
154,1976,319.pdf,train/319.pdf,0.24867987789075807
155,1659,2354.pdf,train/2354.pdf,0.24845270953910747
156,2129,2692.pdf,train/2692.pdf,0.24842224067644467
157,2111,3413.pdf,train/3413.pdf,0.2482760821138815
158,162,203.pdf,train/203.pdf,0.2482742465543072
159,656,3344.pdf,train/3344.pdf,0.24825458362275785
160,231,1434.pdf,train/1434.pdf,0.24822513106503147
161,1244,1041.pdf,train/1041.pdf,0.2482022666220646
162,763,3519.pdf,train/3519.pdf,0.2481537922045512
163,2518,437.pdf,train/437.pdf,0.24794734991719175
164,578,2107.pdf,train/2107.pdf,0.2477633563822053
165,2740,3577.pdf,train/3577.pdf,0.2475717951591518
166,195,3394.pdf,train/3394.pdf,0.2475658943743341
167,1641,1853.pdf,train/1853.pdf,0.24724957531489755
168,1572,2592.pdf,train/2592.pdf,0.247213447321668
169,43,2062.pdf,train/2062.pdf,0.24705710314869933
170,1783,2191.pdf,train/2191.pdf,0.246944517284879
171,2695,187.pdf,train/187.pdf,0.2468182629891229
172,2595,973.pdf,train/973.pdf,0.2466932548065031
173,747,1497.pdf,train/1497.pdf,0.24666757762309147
174,1220,3126.pdf,train/3126.pdf,0.24655872053628972
175,2093,2269.pdf,train/2269.pdf,0.2464164589141347
176,2513,3561.pdf,train/3561.pdf,0.24621191203300585
177,591,2891.pdf,train/2891.pdf,0.2460386433690719
178,421,1814.pdf,train/1814.pdf,0.24600582577295116
179,674,2927.pdf,train/2927.pdf,0.24587913729436153
180,2673,178.pdf,train/178.pdf,0.2457520667275352
181,645,2106.pdf,train/2106.pdf,0.2457247199743358
182,1718,2977.pdf,train/2977.pdf,0.24571185316408875
183,1709,1503.pdf,train/1503.pdf,0.24557529025749172
184,1138,3053.pdf,train/3053.pdf,0.24545403330465732
185,1941,3313.pdf,train/3313.pdf,0.24541381582322397
186,702,548.pdf,train/548.pdf,0.24539810076375396
187,1845,3517.pdf,train/3517.pdf,0.24515260603984979
188,511,3623.pdf,train/3623.pdf,0.24513868695734956
189,507,1746.pdf,train/1746.pdf,0.24504361064771302
190,1164,3522.pdf,train/3522.pdf,0.24480969993239746
191,2272,3160.pdf,train/3160.pdf,0.24477547131897845
192,1112,1308.pdf,train/1308.pdf,0.24476491010902324
193,682,3146.pdf,train/3146.pdf,0.2447170618605393
194,1663,1661.pdf,train/1661.pdf,0.24456373455218644
195,2284,2530.pdf,train/2530.pdf,0.24444943734925803
196,499,3384.pdf,train/3384.pdf,0.2444018646741652
197,1636,323.pdf,train/323.pdf,0.24439844710549918
198,2364,1602.pdf,train/1602.pdf,0.24412546710708993
199,1446,2197.pdf,train/2197.pdf,0.24410539682790477
